入力日,雇用形態,タイトル,職種,給与,詳細仕事内容,勤務地,勤務時間,休日,勤務期間,資格,応募方法,担当者名,電話番号,応募先Eメール,応募期間,応募者Eメール,応募者氏名,応募者フリガナ,応募者電話番号,応募者郵便番号,応募者住所,応募者年齢,応募者最終学歴,応募者職務内容(現在/直近),応募者職務内容(以前),応募者保有資格,応募者勤務先,応募者勤務先業種,応募者役職,応募者動機,応募者自己PR,応募者質問
2002/9/25,社員,会社経営ができる方募集,CEO,"年俸制 1,000万 円
kyuyo",傾いている会社の再建,東京、大阪、名古屋,"10 時〜 10 時
kinmujikan
時間は応相談","
不定期","
一年以上","年令 10 才〜 100 才迄
shikaku
経験者優遇","
応募フォームから / 電話連絡の上履歴書持参",芝山,000-0000-0000,shiba@reds.co.jp,0/0/0,s,s,s,s,s-s,s,s,,"職務内容：
経験年数：","1.前の職務内容：
　経験年数：
2.その前の職務内容：
　経験年数：",,,,,,,
2002/9/25,社員,会社経営ができる方募集,CEO,"年俸制 1,000万 円
kyuyo",傾いている会社の再建,東京、大阪、名古屋,"10 時〜 10 時
kinmujikan
時間は応相談","
不定期","
一年以上","年令 10 才〜 100 才迄
shikaku
経験者優遇","
応募フォームから / 電話連絡の上履歴書持参",芝山,000-0000-0000,shiba@reds.co.jp,0/0/0,d,d,d,d,dd-dd,dd,dd,d,"職務内容：d
経験年数：d","1.前の職務内容：
　経験年数：
2.その前の職務内容：
　経験年数：d",,,,,,,
2002/9/25,社員,会社経営ができる方募集,CEO,"年俸制 1,000万 円
kyuyo",傾いている会社の再建,東京、大阪、名古屋,"10 時〜 10 時
kinmujikan
時間は応相談","
不定期","
一年以上","年令 10 才〜 100 才迄
shikaku
経験者優遇","
応募フォームから / 電話連絡の上履歴書持参",芝山,000-0000-0000,shiba@reds.co.jp,0/0/0,111@test.com,test白石,テストシライシ,00-0000-0000,0000-0000,0000000000000,00,,"職務内容：
経験年数：","1.前の職務内容：
　経験年数：
2.その前の職務内容：
　経験年数：",,,,,,,
2005/12/31,ボランティア,ボランティア職員募集,NPOボランティア職員,"  円
要相談",要相談,要相談," 時〜  時
要相談",要相談,要相談,"年令  才〜  才迄
要相談",要相談,要相談,要相談,要相談,0/0/0,ohnishi@tenpo.ne.jp,test,test,test,test-test,test,test,test,"職務内容：
経験年数：test",,test,test,test,test,test,test,test
2003/12/16,社員,かつらぎテスト,,"  
",,,"   
",,,"    
",,かつらぎ,06-4801-3670,katsuragi@tenpo.ne.jp,0/0/0,0,1,2,3,4-5,,6,,"職務内容：
経験年数：",,,,,,,,
2003/12/16,社員,かつらぎテスト,,"  
",,,"   
",,,"    
",,かつらぎ,06-4801-3670,katsuragi@tenpo.ne.jp,0/0/0,0,1,2,3,4-5,,6,,"職務内容：
経験年数：",,,,,,,,
2003/12/16,社員,かつらぎテスト,,"  
",,,"   
",,,"    
",,かつらぎ,06-4801-3670,katsuragi@tenpo.ne.jp,0/0/0,0,1,2,3,4-5,,6,,"職務内容：
経験年数：",,,,,,,,
2005/12/31,ボランティア,ボランティア職員募集,NPOボランティア職員,"  円
要相談",要相談,要相談," 時〜  時
要相談",要相談,要相談,"年令  才〜  才迄
要相談",要相談,要相談,要相談,要相談,0/0/0,test@test.co.jp,白石卓志,シライシタクシ,06-0000-0000,000-0000,,29,,"職務内容：
経験年数：",,,,,,,,
2005/12/31,入力確認,サラリーマン募集,技師,"  
年棒制　5百万円〜",入力確認,東京,"10 時〜 19 時迄
フレックスタイム（コアタイム　11〜18時
残業有り","年休　●日
土日祝","年次契約とする
一年以上","年令 20 才〜 50 才迄

未経験者歓迎 / 経験者優遇","TEL : 06-6315-3155 　　FAX : 06-6315-3156
Mail : info@reds.co.jp
URL: http://www.reds.co.jp

応募フォームから / 電話連絡の上履歴書持参",芝山,06-000-000,000＠000.00.00,0/0/0,shiba@express.co.jp,芝山貴史,シバヤマタカシ,06-6666-6666,555-5555,大阪府大阪市北区西天満6−5−17,31,アメリカの大学,"職務内容：プロデューサー
経験年数：1年",,英検1級,レッズ,メディア,ぷｐ,おお、いいね。,やります,どうですか。
2003/10/31,社員,test,test," 10 円
test",test,tst,"10 時〜 11 時迄
test",土日祝,長期,"年令 1 才〜 2 才迄
",応募フォームから,test,taxi@express.co.jp,test,0/0/0,test@test.com,test,テスト,00-0000-0000,000-0000,てｓｔ,10,,"職務内容：
経験年数：",,,,,,,,
1900/1/1,,,,,,,,,,,,,,,0/0/0,test@test.com,test,テスト,00-0000-0000,000-0000,てｓｔ,10,,"職務内容：
経験年数：",,,,,,,,
2003/11/4,社員,test,test," 10 円
",,,"   
",,,"    
",,shiraishi,090-,taxi@express.co.jp,0/0/0,test@test.com,test,test,00,00-,おおお,30,,"職務内容：
経験年数：",,,,,,,,
2003/11/4,社員,テスト,,"  
",,,"   
",,,"    
",,テスト(大西),test,ryuta-o@express.co.jp,0/0/0,ryuta-o@express.co.jp,テスト(大西),テスト,テスト,テスト-テスト,テスト,120,,"職務内容：
経験年数：",,,,,,,,
2003/11/5,契約社員,テレビ番組の企画、制作に参加してみませんか！,映像制作スタッフ,月給１８万円以上（経験、能力を十分考慮の上、高給にて優遇致します）,"ＮＨＫ・大手民放・ＷＯＷＯＷ・スカイパーフェクＴＶ！・電通・博報堂といった、世の中のムーブメントを担う業界企業と共にテレビ番組を制作して頂きます。
セリエＡ・プレミアリーグ・大リーグといった海外スポーツ番組や、国内プロ野球・ゴルフ・ラグビーなど、スポーツ番組を多く手掛けているほか、スタジオ収録中心の情報番組の企画・収録・編集なども行って頂きます。また、カメラマンやアナウンサー・スポーツキャスターの募集も行っております。ご応募お持ちしています！",東京都内,"ＡＭ１０：００〜ＰＭ１８：００
※勤務場所、職種により異なります。","月間８〜９日休日（原則）・慶弔休暇
※勤務場所、職種により異なります。",,"学歴、男女不問
３５歳位迄
※まずは登録のみでも結構です。お気軽にご応募下さい。","ブレーンズＨＰよりご応募下さい。
折り返し弊社よりご連絡致します。",内藤　昭浩,03-5464-9822,a-naito@express.co.jp,0/0/0,テスト,テスト,テスト,テスト,テスト-テスト,テスト,テスト,,"職務内容：
経験年数：",,,,,,,,
